cohort,mode,criterion,fold,n,n_pred_AD,bal_acc,degenerate,direction,mean_prob,positive_rate,oe,ece,aece,mce,brier
adni,fusion,auc,1,1287,193,0.6758779497109108,False,working,0.2889509601308657,0.33644133644133645,0.002827850839906959,0.08330490720901917,0.0810567546395618,0.2567473096506936,0.15563657143848597
adni,fusion,auc,2,1287,62,0.5663728899730112,False,working,0.09841787240090946,0.33644133644133645,0.0,0.23802346404042696,0.238023464040427,0.6319663282483816,0.23122234515433707
adni,fusion,auc,3,1287,783,0.685448453413092,False,working,0.5418067199714256,0.33644133644133645,0.10409648214154597,0.2105556521637086,0.2247038585855318,0.29004223731601186,0.22058246468982257
adni,fusion,auc,4,1287,2,0.5023094688221709,False,working,0.05423762114094776,0.33644133644133645,0.0,0.2822037153003887,0.2822037153003887,0.7432086050510407,0.29030794747095634
adni,fusion,auc,5,1287,1243,0.5170600515979685,False,working,0.8718389997109713,0.33644133644133645,0.4693338330851188,0.5366174142081189,0.5353976632696349,0.6858275700005264,0.49670142689442986
adni,fusion,neg_brier,1,1287,435,0.8039250152792726,False,working,0.3419200383110816,0.33644133644133645,0.05379984255228188,0.11628960528814039,0.10882224709522086,0.4596073059148567,0.14623278207469462
adni,fusion,neg_brier,2,1287,988,0.6211118983617374,False,working,0.6792495072556611,0.33644133644133645,0.25960684121054467,0.3436839999739594,0.3428081708143247,0.5432259432312583,0.31909342427132315
adni,fusion,neg_brier,3,1287,519,0.7895489775056654,False,working,0.43398368228357154,0.33644133644133645,0.05171761114976174,0.09754234584223509,0.10139757975438074,0.3157418379560113,0.14357431956041625
adni,fusion,neg_brier,4,1287,807,0.660955644136275,False,working,0.600914867531158,0.33644133644133645,0.20593358219433222,0.2644735310898215,0.2644735310898215,0.5292594593112209,0.2826358722597685
adni,fusion,neg_brier,5,1287,1165,0.5505459973714242,False,working,0.7161278220323416,0.33644133644133645,0.2652229544430088,0.37983078505516793,0.37968648559100515,0.5486513222504525,0.33357714684680195
